[SYSTEM] 2026/03/05 00:19:51 200 | /api/auth/login [49.5471ms]
[SYSTEM] 2026/03/08 03:28:31 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:28:31 200 | /api/auth/refresh [7.9232ms]
[SYSTEM] 2026/03/08 03:28:31 200 | /api/auth/refresh [8.0857ms]
[SYSTEM] 2026/03/08 03:28:31 200 | /api/logs/system [7.7845ms]
[SYSTEM] 2026/03/08 03:28:31 200 | /api/logs/system [6.971ms]
[SYSTEM] 2026/03/08 03:29:37 ERROR: /api/logs/system [509.2µs] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:29:37 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:29:37 200 | /api/auth/refresh [7.2654ms]
[SYSTEM] 2026/03/08 03:29:37 200 | /api/auth/refresh [9.3899ms]
[SYSTEM] 2026/03/08 03:29:37 200 | /api/logs/system [7.8316ms]
[SYSTEM] 2026/03/08 03:29:37 200 | /api/logs/system [7.8316ms]
[SYSTEM] 2026/03/08 03:36:23 200 | /api/auth/logout [8.9579ms]
[SYSTEM] 2026/03/08 03:37:51 200 | /api/auth/login [56.8713ms]
[SYSTEM] 2026/03/08 03:37:51 200 | /api/products [3.2587ms]
[SYSTEM] 2026/03/08 03:37:51 200 | /api/products [1.62ms]
[SYSTEM] 2026/03/08 03:39:29 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:39:29 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:39:29 ERROR: /api/auth/refresh [9.5197ms] (error: refresh token ถูกใช้ไปแล้ว)
[SYSTEM] 2026/03/08 03:39:29 200 | /api/auth/refresh [13.1762ms]
[SYSTEM] 2026/03/08 03:39:29 200 | /api/logs/system [8.9331ms]
[SYSTEM] 2026/03/08 03:41:44 200 | /api/auth/login [55.1426ms]
[SYSTEM] 2026/03/08 03:41:44 200 | /api/products [1.0316ms]
[SYSTEM] 2026/03/08 03:41:44 200 | /api/products [3.2834ms]
[SYSTEM] 2026/03/08 03:41:50 200 | /api/products [1.2201ms]
[SYSTEM] 2026/03/08 03:41:50 200 | /api/products [1.2129ms]
[SYSTEM] 2026/03/08 03:41:51 200 | /api/logs/system [9.265ms]
[SYSTEM] 2026/03/08 03:41:51 200 | /api/logs/system [9.265ms]
[SYSTEM] 2026/03/08 03:41:55 200 | /api/logs/system [632.9µs]
[SYSTEM] 2026/03/08 03:41:55 200 | /api/logs/system [632.9µs]
[SYSTEM] 2026/03/08 03:41:56 200 | /api/products [2.1553ms]
[SYSTEM] 2026/03/08 03:41:56 200 | /api/products [9.3533ms]
[SYSTEM] 2026/03/08 03:41:59 200 | /api/logs/system [8.9403ms]
[SYSTEM] 2026/03/08 03:41:59 200 | /api/logs/system [7.3387ms]
[SYSTEM] 2026/03/08 03:41:59 200 | /api/products [1.305ms]
[SYSTEM] 2026/03/08 03:41:59 200 | /api/products [715.4µs]
[SYSTEM] 2026/03/08 03:42:05 200 | /api/logs/system [510µs]
[SYSTEM] 2026/03/08 03:42:05 200 | /api/logs/system [8.0134ms]
[SYSTEM] 2026/03/08 03:42:05 200 | /api/products [2.376ms]
[SYSTEM] 2026/03/08 03:42:05 200 | /api/products [9.4046ms]
[SYSTEM] 2026/03/08 03:42:10 200 | /api/logs/system [506.9µs]
[SYSTEM] 2026/03/08 03:42:10 200 | /api/logs/system [506.9µs]
[SYSTEM] 2026/03/08 03:42:12 200 | /api/products [1.4445ms]
[SYSTEM] 2026/03/08 03:42:12 200 | /api/products [697.8µs]
[SYSTEM] 2026/03/08 03:43:01 200 | /api/products [2.8651ms]
[SYSTEM] 2026/03/08 03:43:01 200 | /api/products [18.7165ms]
[SYSTEM] 2026/03/08 03:43:50 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:43:50 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:43:50 ERROR: /api/auth/refresh [3.3415ms] (error: refresh token ไม่ถูกต้อง)
[SYSTEM] 2026/03/08 03:43:50 ERROR: /api/auth/refresh [5.9769ms] (error: refresh token ไม่ถูกต้อง)
[SYSTEM] 2026/03/08 03:44:10 200 | /api/auth/login [53.6684ms]
[SYSTEM] 2026/03/08 03:44:10 200 | /api/products [1.3418ms]
[SYSTEM] 2026/03/08 03:44:10 200 | /api/products [1.9351ms]
[SYSTEM] 2026/03/08 03:44:20 200 | /api/logs/system [8.9252ms]
[SYSTEM] 2026/03/08 03:44:20 200 | /api/logs/system [7.3278ms]
[SYSTEM] 2026/03/08 03:44:21 200 | /api/products [3.0071ms]
[SYSTEM] 2026/03/08 03:44:21 200 | /api/products [643.7µs]
[SYSTEM] 2026/03/08 03:44:22 200 | /api/logs/system [8.398ms]
[SYSTEM] 2026/03/08 03:44:22 200 | /api/logs/system [8.398ms]
[SYSTEM] 2026/03/08 03:44:23 200 | /api/products [938.7µs]
[SYSTEM] 2026/03/08 03:44:23 200 | /api/products [1.7645ms]
[SYSTEM] 2026/03/08 03:44:23 200 | /api/logs/system [505.3µs]
[SYSTEM] 2026/03/08 03:44:23 200 | /api/logs/system [7.3897ms]
[SYSTEM] 2026/03/08 03:44:23 200 | /api/products [747.8µs]
[SYSTEM] 2026/03/08 03:44:23 200 | /api/products [508.3µs]
[SYSTEM] 2026/03/08 03:44:24 200 | /api/logs/system [503µs]
[SYSTEM] 2026/03/08 03:44:24 200 | /api/logs/system [8.4499ms]
[SYSTEM] 2026/03/08 03:44:24 200 | /api/products [1.0595ms]
[SYSTEM] 2026/03/08 03:44:24 200 | /api/products [1.1134ms]
[SYSTEM] 2026/03/08 03:44:24 200 | /api/logs/system [508µs]
[SYSTEM] 2026/03/08 03:44:24 200 | /api/logs/system [7.8853ms]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/products [1.0503ms]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/products [1.024ms]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/logs/system [9.6059ms]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/products [1.2484ms]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/products [1.0732ms]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/logs/system [650.3µs]
[SYSTEM] 2026/03/08 03:44:25 200 | /api/logs/system [650.3µs]
[SYSTEM] 2026/03/08 03:44:27 200 | /api/products [616µs]
[SYSTEM] 2026/03/08 03:44:27 200 | /api/products [1.309ms]
[SYSTEM] 2026/03/08 03:44:27 200 | /api/logs/system [8.4844ms]
[SYSTEM] 2026/03/08 03:44:27 200 | /api/logs/system [11.81ms]
[SYSTEM] 2026/03/08 03:45:13 200 | /api/products [1.7212ms]
[SYSTEM] 2026/03/08 03:45:13 200 | /api/products [1.7212ms]
[SYSTEM] 2026/03/08 03:45:19 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:45:19 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:45:19 200 | /api/auth/refresh [7.6356ms]
[SYSTEM] 2026/03/08 03:45:19 200 | /api/auth/refresh [10.5959ms]
[SYSTEM] 2026/03/08 03:45:19 200 | /api/logs/system [8.9512ms]
[SYSTEM] 2026/03/08 03:45:19 200 | /api/logs/system [7.272ms]
[SYSTEM] 2026/03/08 03:45:23 200 | /api/products [1.03ms]
[SYSTEM] 2026/03/08 03:45:23 200 | /api/products [1.0779ms]
[SYSTEM] 2026/03/08 03:45:27 200 | /api/logs/system [7.4472ms]
[SYSTEM] 2026/03/08 03:45:27 200 | /api/logs/system [6.7196ms]
[SYSTEM] 2026/03/08 03:51:19 200 | /api/auth/logout [9.1821ms]
[SYSTEM] 2026/03/08 03:52:01 200 | /api/auth/login [55.2172ms]
[SYSTEM] 2026/03/08 03:52:01 200 | /api/products [3.2774ms]
[SYSTEM] 2026/03/08 03:52:01 200 | /api/products [1.2418ms]
[SYSTEM] 2026/03/08 03:52:27 200 | /api/logs/system [7.9507ms]
[SYSTEM] 2026/03/08 03:52:27 200 | /api/logs/system [7.3433ms]
[SYSTEM] 2026/03/08 03:52:29 200 | /api/products [1.9291ms]
[SYSTEM] 2026/03/08 03:52:29 200 | /api/products [1.4229ms]
[SYSTEM] 2026/03/08 03:56:10 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:56:10 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:56:10 ERROR: /api/auth/refresh [7.1436ms] (error: token นี้กำลังถูกรีเฟรชหรือถูกใช้ไปแล้ว)
[SYSTEM] 2026/03/08 03:56:10 200 | /api/auth/refresh [8.1923ms]
[SYSTEM] 2026/03/08 03:56:10 200 | /api/logs/system [8.6008ms]
[SYSTEM] 2026/03/08 04:02:39 200 | /api/auth/login [58.0975ms]
[SYSTEM] 2026/03/08 04:02:39 200 | /api/products [1.302ms]
[SYSTEM] 2026/03/08 04:02:39 200 | /api/products [3.2835ms]
[SYSTEM] 2026/03/08 04:02:47 200 | /api/logs/system [9.5174ms]
[SYSTEM] 2026/03/08 04:02:47 200 | /api/logs/system [7.3925ms]
[SYSTEM] 2026/03/08 04:02:48 200 | /api/products [2.5242ms]
[SYSTEM] 2026/03/08 04:02:48 200 | /api/products [1.0502ms]
[SYSTEM] 2026/03/08 04:03:08 201 | /api/products [7.5526ms]
[SYSTEM] 2026/03/08 04:03:08 200 | /api/products [723.9µs]
[SYSTEM] 2026/03/08 04:03:53 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 04:03:53 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 04:03:53 200 | /api/auth/refresh [12.8638ms]
[SYSTEM] 2026/03/08 04:03:53 200 | /api/logs/system [7.2823ms]
[SYSTEM] 2026/03/08 04:03:53 200 | /api/logs/system [7.2494ms]
[SYSTEM] 2026/03/08 04:03:58 200 | /api/products [1.196ms]
[SYSTEM] 2026/03/08 04:03:58 200 | /api/products [1.196ms]
[SYSTEM] 2026/03/08 04:04:01 200 | /api/products [505µs]
[SYSTEM] 2026/03/08 04:04:01 200 | /api/products [2.2054ms]
[SYSTEM] 2026/03/08 04:04:03 200 | /api/logs/system [8.8705ms]
[SYSTEM] 2026/03/08 04:04:03 200 | /api/logs/system [7.299ms]
[SYSTEM] 2026/03/08 04:05:06 200 | /api/products [1.4828ms]
[SYSTEM] 2026/03/08 04:05:06 200 | /api/products [1.0091ms]
[SYSTEM] 2026/03/08 04:05:09 ERROR: /api/logs/system [505.1µs] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 04:05:09 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 04:05:09 200 | /api/auth/refresh [6.5577ms]
[SYSTEM] 2026/03/08 04:05:09 200 | /api/logs/system [10.151ms]
[SYSTEM] 2026/03/08 04:05:09 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/08 04:10:04 200 | /api/auth/logout [3.0525ms]
[SYSTEM] 2026/03/08 04:10:14 200 | /api/auth/login [65.4478ms]
[SYSTEM] 2026/03/08 04:10:14 200 | /api/products [2.3869ms]
[SYSTEM] 2026/03/08 04:10:14 200 | /api/products [1.4157ms]
[SYSTEM] 2026/03/08 04:14:15 200 | /api/auth/logout [2.9074ms]
[SYSTEM] 2026/03/08 04:14:21 ERROR: /api/auth/login [45.7205ms] (error: ชื่อผู้ใช้หรือรหัสผ่านไม่ถูกต้อง)
[SYSTEM] 2026/03/08 04:14:26 ERROR: /api/auth/login [48.9995ms] (error: ชื่อผู้ใช้หรือรหัสผ่านไม่ถูกต้อง)
[SYSTEM] 2026/03/08 04:14:29 200 | /api/auth/login [57.8931ms]
[SYSTEM] 2026/03/08 04:14:29 200 | /api/products [1.5848ms]
[SYSTEM] 2026/03/08 04:14:29 200 | /api/products [804.8µs]
